split,entity_key,scenario,target,component,error,score,threshold,interpretation,interpretation_status,run
validation,Person:P00840,velocity,True,anomaly,false_negative,0.263703767075331,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00840,velocity,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00860,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00860,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00860,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00860,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00860,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00870,network,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00870,network,True,anomaly,false_negative,0.48546151943485116,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00880,tax,True,anomaly,false_negative,0.23902014704213195,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00880,tax,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00880,tax,True,gnn,false_negative,0.005802496780014439,0.65,"Only eight positive training cases. Aggregate graph features omit rule-specific transaction-purpose, declaration and travel semantics.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00920,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00920,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00920,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00920,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00920,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00960,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00960,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00960,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00960,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P00960,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01000,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01000,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01000,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01000,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01000,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01060,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01060,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
