company_id,company_name,country,industry,company_size,employee_count,annual_revenue,registration_date,city,region,status
C00001,AetherDynamics 1,USA,Logistics,Medium,58,71922,2022-11-25,Addis Ababa,Addis Ababa,Active
C00002,CobaltCloud 2,USA,Healthcare Tech,Large,2392,8104855,2023-02-11,Dilla,SNNPR,Active
C00003,StratosWorks 3,USA,Consulting,Small,48,703956,2025-10-12,Bishoftu,Oromia,Suspended
C00004,Amhara Construction,Ethiopia,Agriculture,Medium,56,281823,2023-05-15,Addis Ababa,Addis Ababa,Active
C00005,ApexAI 5,USA,Healthcare Tech,Micro,5,28146,2024-01-08,Hawassa,Sidama,Active
C00006,NexusWorks 6,USA,E-Commerce,Micro,1,42874,2022-05-02,Hawassa,Sidama,Suspended
C00007,PrismTech 7,USA,Logistics,Small,13,64920,2022-08-10,Addis Ababa,Addis Ababa,Active
C00008,ZenithSystems 8,USA,EdTech,Medium,164,1990084,2023-04-16,Shashamane,Oromia,Active
C00009,ZenithLabs 9,USA,Cloud Services,Large,3130,32146621,2023-12-27,Hawassa,Sidama,Active
C00010,Harar Textile,Ethiopia,Agriculture,Medium,226,555667,2024-09-30,Adama,Oromia,Active
C00011,SynapseWorks 11,USA,Cloud Services,Small,29,74485,2024-01-05,Arba Minch,SNNPR,Active
C00012,IonicAI 12,USA,Consulting,Micro,2,61050,2023-06-14,Harar,Harari,Dissolved
C00013,SynapseNet 13,USA,Consulting,Medium,106,101759,2025-09-25,Jimma,Oromia,Active
C00014,Harar Construction,Ethiopia,Retail,Medium,90,267726,2023-12-26,Addis Ababa,Addis Ababa,Active
C00015,VortexCloud 15,USA,FinTech,Medium,178,912333,2025-01-13,Hosaena,SNNPR,Dissolved
C00016,ZenithData 16,USA,Cloud Services,Medium,140,239876,2023-12-08,Adama,Oromia,Active
C00017,HelixLabs 17,USA,Cloud Services,Medium,237,734798,2022-07-31,Nekemte,Oromia,Active
C00018,ZenithTech 18,USA,Technology,Micro,8,165806,2024-07-22,Addis Ababa,Addis Ababa,Active
C00019,Bale Textile,Ethiopia,Tourism,Micro,6,54130,2022-08-02,Harar,Harari,Active
C00020,SynapseVentures 20,USA,Healthcare Tech,Small,13,139498,2024-10-10,Adama,Oromia,Active
C00021,Bale Construction,Ethiopia,Retail,Small,48,99424,2025-06-14,Asella,Oromia,Active
C00022,ZenithAI 22,USA,FinTech,Small,16,18838,2025-11-01,Mekelle,Tigray,Active
C00023,EmberDynamics 23,USA,Logistics,Medium,64,452676,2023-08-07,Hawassa,Sidama,Active
C00024,VortexAI 24,USA,Logistics,Micro,4,124461,2023-03-14,Addis Ababa,Addis Ababa,Active
C00025,Tigray Trading,Ethiopia,Retail,Enterprise,31447,129056998,2022-05-30,Bishoftu,Oromia,Active
C00026,FluxWorks 26,USA,E-Commerce,Micro,5,333427,2024-11-19,Jimma,Oromia,Active
C00027,FluxCloud 27,USA,EdTech,Micro,5,72339,2025-12-07,Gondar,Amhara,Active
C00028,ApexHub 28,USA,Healthcare Tech,Small,27,153466,2025-04-12,Addis Ababa,Addis Ababa,Active
C00029,NexusDigital 29,USA,Technology,Small,13,122724,2022-05-25,Bishoftu,Oromia,Suspended
C00030,StratosTech 30,USA,Logistics,Small,31,115904,2024-09-20,Addis Ababa,Addis Ababa,Active
C00031,CobaltTech 31,USA,Consulting,Small,48,420915,2023-05-24,Bishoftu,Oromia,Active
C00032,AxiomDigital 32,USA,Technology,Small,22,121403,2024-01-12,Hawassa,Sidama,Suspended
